Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
571.23,4.344242095947266,0.0,0.0,0.0,0.0,0.38508141040802
571.262,4.344242095947266,0.0,0.0,0.0,0.0,0.38508141040802
571.306,4.344242095947266,0.0,0.0,0.0,0.0,0.38508141040802
571.33,4.579736232757568,0.0,0.0,0.0,0.0,0.38911548256874084
571.362,4.579736232757568,0.0,0.0,0.0,0.0,0.38911548256874084
571.402,4.579736232757568,0.0,0.0,0.0,0.0,0.38911548256874084
571.43,4.58089017868042,0.0,0.0,0.0,0.0,0.31669116020202637
571.462,4.58089017868042,0.0,0.0,0.0,0.0,0.31669116020202637
571.498,4.58089017868042,0.0,0.0,0.0,0.0,0.31669116020202637
571.53,4.708949089050293,0.0,0.0,0.0,0.0,0.39656490087509155
571.562,4.708949089050293,0.0,0.0,0.0,0.0,0.39656490087509155
571.602,4.708949089050293,0.0,0.0,0.0,0.0,0.39656490087509155
571.63,4.466180324554443,0.0,0.0,0.0,0.0,0.3656056821346283
571.662,4.466180324554443,0.0,0.0,0.0,0.0,0.3656056821346283
571.702,4.466180324554443,0.0,0.0,0.0,0.0,0.3656056821346283
571.73,4.62114953994751,0.0,0.0,0.0,0.0,0.3045744001865387
571.762,4.62114953994751,0.0,0.0,0.0,0.0,0.3045744001865387
571.814,4.62114953994751,0.0,0.0,0.0,0.0,0.3045744001865387
571.83,4.681535720825195,0.0,0.0,0.0,0.0,0.3023270070552826
571.862,4.756942272186279,0.0,0.0,0.0,0.0,0.2959359288215637
571.902,4.756942272186279,0.0,0.0,0.0,0.0,0.2959359288215637
571.93,4.499769687652588,0.0,0.0,0.0,0.0,0.3120845556259155
571.962,4.548002243041992,0.0,0.0,0.0,0.0,0.31428995728492737
572.014,4.66072416305542,0.0,0.0,0.0,0.0,0.21896480023860931
572.03,4.66072416305542,0.0,0.0,0.0,0.0,0.21896480023860931
572.062,4.733090400695801,0.0,0.0,0.0,0.0,0.21841253340244293
572.102,4.733090400695801,0.0,0.0,0.0,0.0,0.21841253340244293
572.13,4.54839563369751,0.0,0.0,0.0,0.0,0.16512836515903473
572.162,4.566775321960449,0.0,0.0,0.0,0.0,0.1592511087656021
572.198,4.566775321960449,0.0,0.0,0.0,0.0,0.1592511087656021
572.23,4.3151750564575195,0.0,0.0,0.0,0.0,0.17849312722682953
572.262,4.417067050933838,0.0,0.0,0.0,0.0,0.18014870584011078
572.298,4.417067050933838,0.0,0.0,0.0,0.0,0.18014870584011078
572.33,4.619872093200684,0.0,0.0,0.0,0.0,0.07631570845842361
572.362,4.662775039672852,0.0,0.0,0.0,0.0,0.0713353157043457
572.402,4.662775039672852,0.0,0.0,0.0,0.0,0.0713353157043457
572.43,4.823812007904053,0.0,0.0,0.0,0.0,0.14470189809799194
572.462,4.878061771392822,0.0,0.0,0.0,0.0,0.14391683042049408
572.514,4.878061771392822,0.0,0.0,0.0,0.0,0.14391683042049408
572.53,4.5269036293029785,0.0,0.0,0.0,0.0,0.13363954424858093
572.562,4.59375,0.0,0.0,0.0,0.0,0.12473730742931366
572.606,4.693869590759277,0.0,0.0,0.0,0.0,0.16742682456970215
572.63,4.693869590759277,0.0,0.0,0.0,0.0,0.16742682456970215
572.662,4.730659008026123,0.0,0.0,0.0,0.0,0.1612638384103775
572.702,4.730659008026123,0.0,0.0,0.0,0.0,0.1612638384103775
572.73,4.669680595397949,0.0,0.0,0.0,0.0,0.11132774502038956
572.762,4.736749172210693,0.0,0.0,0.0,0.0,0.10789173096418381
572.802,4.642568588256836,0.0,0.0,0.0,0.0,0.07091756165027618
572.83,4.642568588256836,0.0,0.0,0.0,0.0,0.07091756165027618
572.862,4.733357906341553,0.0,0.0,0.0,0.0,0.0730140432715416
572.906,4.662974834442139,0.0,0.0,0.0,0.0,-0.05344027653336525
572.93,4.662974834442139,0.0,0.0,0.0,0.0,-0.05344027653336525
572.962,4.6492390632629395,0.0,0.0,0.0,0.0,-0.0641067773103714
573.014,4.6492390632629395,0.0,0.0,0.0,0.0,-0.0641067773103714
573.03,4.7004265785217285,0.0,0.0,0.0,0.0,0.04052086919546127
573.062,4.796657085418701,0.0,0.0,0.0,0.0,0.01723395101726055
573.102,4.796657085418701,0.0,0.0,0.0,0.0,0.01723395101726055
573.13,4.692826747894287,0.0,0.0,0.0,0.0,0.11795195937156677
573.162,4.7292094230651855,0.0,0.0,0.0,0.0,0.11187237501144409
573.202,4.7292094230651855,0.0,0.0,0.0,0.0,0.11187237501144409
573.23,4.457608222961426,0.0,0.0,0.0,0.0,0.06419463455677032
573.262,4.523826599121094,0.0,0.0,0.0,0.0,0.05232756584882736
573.314,4.731805324554443,0.0,0.0,0.0,0.0,-0.025864865630865097
573.33,4.731805324554443,0.0,0.0,0.0,0.0,-0.025864865630865097
573.362,4.860470771789551,0.0,0.0,0.0,0.0,-0.039618369191884995
573.406,4.860470771789551,0.0,0.0,0.0,0.0,-0.039618369191884995
573.426,4.8997883796691895,0.0,0.0,0.0,0.0,0.027544816955924034
573.462,4.9538254737854,0.0,0.0,0.0,0.0,0.016118451952934265
573.506,4.9538254737854,0.0,0.0,0.0,0.0,0.016118451952934265
573.53,4.7956719398498535,0.0,0.0,0.0,0.0,-0.08683805167675018
573.562,4.833062648773193,0.0,0.0,0.0,0.0,-0.10355006903409958
573.602,4.833062648773193,0.0,0.0,0.0,0.0,-0.10355006903409958
